day hour,rides
0-0,507.1111111
0-1,267.2222222
0-10,2609.444444
0-11,2361.555556
0-12,2816.777778
0-13,2933.333333
0-14,3035
0-15,3266
0-16,4412.222222
0-17,7810.666667
0-18,7468.111111
0-19,5283.222222
0-2,150.5555556
0-20,3823.777778
0-21,2531.777778
0-22,1759
0-23,975.5555556
0-3,93.55555556
0-4,142.7777778
0-5,583.5555556
0-6,1942.222222
0-7,3999.222222
0-8,6211
0-9,4542.888889
Jan-00,485.3333333
1-Jan,253.2222222
10-Jan,2830.666667
11-Jan,2742.666667
12-Jan,3066.666667
13-Jan,3061.222222
14-Jan,3156.111111
15-Jan,3396.666667
16-Jan,4654.222222
17-Jan,7926
18-Jan,8037
19-Jan,5697.888889
2-Jan,143.1111111
20-Jan,4151.888889
21-Jan,2839.777778
22-Jan,2023.555556
23-Jan,1199
3-Jan,95.22222222
4-Jan,138.6666667
5-Jan,587
6-Jan,1697
7-Jan,3233.222222
8-Jan,6503
9-Jan,5091.222222
Feb-00,596.7777778
1-Feb,294.8888889
10-Feb,3055.444444
11-Feb,2977.444444
12-Feb,3477.777778
13-Feb,3618.888889
14-Feb,3570.333333
15-Feb,3785.888889
16-Feb,4405.888889
17-Feb,7563.444444
18-Feb,7864.333333
19-Feb,5682.666667
2-Feb,153.8888889
20-Feb,3794.222222
21-Feb,2638.888889
22-Feb,1933.444444
23-Feb,1207.666667
3-Feb,101
4-Feb,160.3333333
5-Feb,667.1111111
6-Feb,2206
7-Feb,4387.222222
8-Feb,7431.555556
9-Feb,5275.666667
Mar-00,638
1-Mar,315.625
10-Mar,2493.375
11-Mar,2574.5
12-Mar,3029.75
13-Mar,3381
14-Mar,3491.125
15-Mar,3264.75
16-Mar,4064.75
17-Mar,6505.125
18-Mar,6815.625
19-Mar,4765.75
2-Mar,177.5
20-Mar,3454.5
21-Mar,2280.375
22-Mar,1986.25
23-Mar,1361.5
3-Mar,106.25
4-Mar,141
5-Mar,518.5
6-Mar,1713.75
7-Mar,3505.75
8-Mar,5256.5
9-Mar,4005.875
Apr-00,787.25
1-Apr,406.25
10-Apr,3005.875
11-Apr,3078.25
12-Apr,3685
13-Apr,4074.875
14-Apr,4323.75
15-Apr,4857.625
16-Apr,5915.875
17-Apr,7457.625
18-Apr,6705.375
19-Apr,5123.5
2-Apr,231.25
20-Apr,3682.625
21-Apr,2619.375
22-Apr,2119.875
23-Apr,1640.5
3-Apr,150
4-Apr,158.125
5-Apr,485.375
6-Apr,1646.125
7-Apr,3392.75
8-Apr,5475.125
9-Apr,4685.625
May-00,1173.555556
1-May,778.4444444
10-May,4039.555556
11-May,4800.222222
12-May,5276.888889
13-May,5385.888889
14-May,5379.777778
15-May,5258.777778
16-May,5210.111111
17-May,4967.555556
18-May,4735.333333
19-May,4221.888889
2-May,512.6666667
20-May,3411.444444
21-May,2473
22-May,2083.333333
23-May,1623.111111
3-May,291.4444444
4-May,205.8888889
5-May,209.1111111
6-May,518.3333333
7-May,1134.888889
8-May,1989
9-May,3023
Jun-00,1167.666667
1-Jun,754.8888889
10-Jun,3609.555556
11-Jun,4344.333333
12-Jun,4879.444444
13-Jun,5116.111111
14-Jun,5202.444444
15-Jun,5266.111111
16-Jun,5388.333333
17-Jun,5101.666667
18-Jun,4874.888889
19-Jun,4309.222222
2-Jun,500
20-Jun,3362.444444
21-Jun,2349.666667
22-Jun,1560
23-Jun,961.7777778
3-Jun,325.8888889
4-Jun,200.5555556
5-Jun,168.1111111
6-Jun,350.4444444
7-Jun,767.7777778
8-Jun,1502.777778
9-Jun,2510.888889
